country_iso3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CZE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"22,775.97","23,833.84","23,738.38","23,676.73","24,026.62","25,015.95","25,893.25","26,379.25","27,347.48","28,656.47","30,537.76","32,525.38","34,234.50","34,851.06","32,965.44","33,650.93","34,162.84","33,834.28","33,784.40","34,560.82","36,333.73","37,200.66","39,031.09","40,160.98","40,936.80","38,503.23"
DNK,"31,953.00","31,730.72","32,928.98","33,800.86","35,240.73","36,659.28","38,416.91","38,450.54","38,414.06","38,656.71","39,182.94","39,644.89","40,299.05","40,158.25","42,167.87","43,286.06","44,243.99","45,477.60","46,310.78","47,508.30","49,137.15","49,363.70","49,417.48","49,469.83","50,656.61","51,710.88","53,574.78","53,866.24","53,310.08","50,367.04","51,091.82","51,533.52","51,467.39","51,743.65","52,349.88","53,268.95","54,540.79","55,673.46","56,565.92","57,929.05","55,864.37"
DJI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,252.21","4,881.47","4,775.19","4,331.54","4,156.25","3,902.31","3,654.35","3,511.59","3,419.84","3,423.81","3,354.31","3,321.45","3,335.48","3,348.02","3,347.32","3,357.45","3,423.59","3,497.41","3,599.66","3,558.21","3,604.85","3,762.40","3,837.14","3,919.28","4,081.75","4,275.32","4,446.60","4,545.09","4,796.88","5,016.20","4,830.77"
DMA,n/a,"5,245.49","5,481.73","5,642.16","5,900.16","6,005.60","6,453.62","6,885.45","7,450.46","7,463.07","7,895.87","8,031.07","8,193.42","8,369.88","8,372.03","8,625.01","8,892.07","9,085.64","9,427.73","9,460.40","9,680.92","9,674.04","9,407.04","10,011.79","10,324.53","10,399.65","10,891.86","11,592.12","12,426.36","12,289.71","12,389.91","12,362.19","12,545.57","12,451.64","12,979.71","12,400.69","12,464.15","11,055.18","10,896.14","11,720.53","10,496.30"
DOM,"6,194.06","6,314.59","6,275.55","6,413.90","6,341.69","6,059.92","6,122.87","6,580.45","6,565.76","6,706.20","6,216.83","6,168.02","6,736.66","7,101.83","7,161.59","7,443.12","7,761.73","8,318.83","8,736.93","9,117.25","9,403.75","9,504.66","9,800.07","9,538.21","9,659.02","10,439.47","11,267.42","11,967.65","12,211.27","12,194.67","13,074.43","13,341.20","13,561.01","14,071.39","14,912.89","15,791.32","16,684.41","17,301.38","18,334.61","19,090.48","17,639.28"
ECU,"8,397.63","8,481.71","8,346.59","7,892.21","8,004.93","8,139.87","8,178.53","7,499.40","8,075.31","7,903.12","7,952.79","8,170.49","8,278.71","8,264.42","8,442.29","8,470.16","8,470.36","8,698.20","8,848.50","8,306.91","8,274.16","8,416.16","8,574.25","8,658.24","9,208.57","9,576.10","9,823.60","9,861.92","10,301.95","10,173.61","10,340.20","10,968.06","11,396.85","11,768.18","12,021.48","11,847.54","11,525.33","11,623.72","11,603.14","11,440.19","10,435.53"
EGY,"5,080.96","5,049.20","5,273.47","5,589.06","5,874.27","6,133.13","6,262.74","6,389.95","6,511.71","6,561.64","6,655.62","6,657.65","6,542.17","6,525.59","6,666.01","6,807.72","6,994.14","7,247.89","7,642.00","7,940.52","8,184.93","8,304.69","8,401.97","8,491.78","8,673.45","8,881.87","9,292.58","9,761.93","10,237.96","10,479.53","10,766.92","10,711.91","10,684.91","10,763.74","10,796.83","10,990.31","11,215.98","11,158.25","11,521.27","11,940.25","12,123.99"
SLV,"5,817.54","5,423.00","5,041.46","5,088.53","5,124.84","5,115.55","5,073.54","5,138.79","5,162.71","5,131.20","5,287.24","5,294.02","5,588.17","5,833.35","6,028.60","6,239.13","6,222.27","6,354.48","6,465.07","6,551.77","6,577.08","6,591.01","6,655.52","6,723.70","6,750.02","6,900.44","7,167.76","7,269.59","7,392.85","7,208.15","7,328.71","7,575.63","7,754.68","7,892.44","7,990.45","8,143.02","8,309.63","8,454.05","8,615.57","8,775.38","7,983.04"
GNQ,840.575,840.552,798.301,774.656,727.844,774.124,721.643,726.33,723.094,693.835,690.254,660.344,850.246,908.329,"1,025.00","1,251.18","1,840.55","4,391.11","5,267.62","6,395.43","12,928.33","19,865.69","22,813.40","25,050.96","31,303.00","32,419.37","33,005.96","36,347.34","40,889.49","39,583.93","34,459.66","35,113.41","36,410.00","33,450.83","32,231.18","28,149.29","24,698.69","22,449.90","20,283.61","18,503.86","16,862.20"
ERI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,199.71","1,365.74","1,667.07","1,716.66","1,880.31","2,029.78","2,059.36","2,034.61","1,740.45","1,826.69","1,801.20","1,672.47","1,622.52","1,601.30","1,536.32","1,517.17","1,195.96","1,317.11","1,437.02","1,781.74","1,795.24","1,592.33","2,066.02","1,624.28","1,726.77","1,537.45","1,717.68","1,761.13","1,725.91"
EST,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"12,176.28","12,254.84","12,768.62","13,598.01","15,548.49","16,378.32","16,264.31","17,821.62","19,007.99","20,429.98","22,114.22","23,752.38","26,155.79","28,867.53","31,195.83","29,687.78","25,451.70","26,196.11","28,227.18","29,209.49","29,708.23","30,657.41","31,221.49","32,207.44","33,937.44","35,292.54","36,918.45","35,779.90"
SWZ,"3,959.84","4,110.91","4,052.55","3,913.09","3,881.91","3,815.06","4,343.67","4,575.54","4,713.54","4,956.37","5,262.34","5,206.98","5,252.46","5,308.72","5,332.54","5,478.45","5,567.14","5,612.99","5,704.72","5,818.07","5,865.55","5,872.93","6,074.32","6,253.06","6,421.70","6,746.57","7,087.98","7,337.87","7,344.23","7,405.19","7,630.90","7,746.72","8,106.54","8,360.42","8,377.84","8,503.04","8,537.42","8,650.85","8,769.20","8,878.08","8,490.52"
ETH,863.024,842.7,827.19,864.751,817.929,701.508,745.194,821.762,800.245,770.92,765.065,686.199,604.155,662.211,663.286,682.232,751.849,751.469,700.455,724.709,775.02,808.127,798.888,736.923,802.283,880.479,956.855,"1,042.66","1,141.17","1,235.52","1,344.97","1,474.70","1,577.76","1,706.65","1,852.79","2,013.26","2,140.08","2,321.44","2,460.88","2,641.01","2,756.87"
FJI,"7,550.93","7,813.62","7,531.13","7,035.15","7,583.18","7,184.06","7,587.75","7,013.95","7,248.41","8,093.56","8,494.02","8,198.47","8,629.45","8,784.00","9,159.76","9,324.97","9,697.29","9,396.01","9,449.73","10,198.53","9,954.09","10,071.83","10,321.49","10,331.85","10,814.71","10,601.05","10,729.03","10,560.67","10,614.95","10,416.21","10,677.56","10,913.84","11,015.61","11,482.90","12,069.63","12,557.20","12,751.06","13,316.59","13,748.05","13,611.33","10,964.36"
FIN,"25,385.35","25,625.23","26,282.60","26,937.69","27,642.58","28,480.52","29,156.18","30,102.08","31,587.56","33,088.83","33,025.32","30,931.51","29,730.87","29,382.26","30,408.99","31,561.74","32,603.60","34,564.19","36,343.97","37,845.25","39,939.94","40,904.53","41,492.42","42,231.21","43,804.05","44,876.62","46,515.48","48,782.07","48,946.28","44,775.96","45,985.68","46,947.79","46,069.13","45,439.77","45,069.68","45,145.07","46,282.74","47,621.51","48,160.18","48,730.64","47,257.66"
FRA,"28,755.02","28,902.53","29,459.60","29,653.25","29,967.84","30,309.25","30,875.51","31,512.65","32,839.63","34,081.22","34,887.28","35,089.43","35,482.17","35,100.15","35,805.70","36,441.30","36,839.21","37,583.08","38,809.64","40,001.84","41,316.00","41,845.26","42,023.10","42,075.80","42,977.85","43,364.52","44,110.85","44,891.25","44,759.70","43,243.36","43,875.98","44,621.14","44,545.00","44,575.33","44,769.54","45,075.69","45,450.75","46,369.70","47,085.23","47,679.69","43,663.70"
GAB,"19,598.51","18,409.57","18,751.88","18,715.31","19,209.74","19,886.41","19,049.70","15,769.13","15,969.71","18,037.11","18,557.55","19,078.49","17,929.29","18,195.77","18,411.06","18,855.41","19,062.37","19,664.62","19,852.22","17,635.90","16,881.74","16,824.04","16,444.34","16,316.14","16,096.44","15,580.34","14,910.30","15,392.75","15,086.16","14,202.63","14,540.64","15,001.76","15,211.48","15,446.71","15,566.74","15,652.46","15,579.43","15,302.64","15,222.29","15,611.65","15,138.56"
GMB,"2,642.30","2,251.66","2,622.08","2,862.08","2,540.10","2,529.34","2,487.40","2,456.58","2,400.23","2,405.80","2,442.92","2,397.70","2,344.10","2,299.33","2,146.82","2,151.03","2,149.07","2,084.99","2,153.09","2,220.89","2,271.43","2,327.28","2,180.86","2,257.37","2,341.17","2,216.19","2,137.82","2,137.86","2,205.12","2,283.18","2,346.72","2,091.82","2,135.75","2,131.43","2,038.80","2,058.66","2,036.87","2,072.65","2,158.07","2,221.85","2,157.02"
GEO,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,788.66","4,280.49","3,095.14","3,007.21","3,207.45","3,675.28","4,212.01","4,464.89","4,693.66","4,873.76","5,208.30","5,556.98","6,211.15","6,617.95","7,290.91","8,037.20","9,083.95","9,364.34","9,066.32","9,706.95","10,493.59","11,264.34","11,737.84","12,262.94","12,616.64","12,960.01","13,595.58","14,241.84","14,979.37","14,140.90"
DEU,"30,375.17","30,351.48","30,133.77","30,709.35","31,705.25","32,480.48","33,242.76","33,725.13","34,773.20","35,776.39","37,112.44","38,472.93","38,954.87","38,361.67","39,184.69","39,709.79","39,955.91","40,647.36","41,501.17","42,296.56","43,506.40","44,207.35","44,085.56","43,791.64","44,360.44","44,748.05","46,547.95","48,043.13","48,641.28","46,030.83","48,076.07","49,963.71","50,082.68","50,162.03","51,060.84","51,373.69","52,097.05","53,254.66","53,767.97","53,944.86","51,260.17"
GHA,"2,535.64","2,382.58","2,138.49","1,957.84","2,004.57","2,088.78","2,164.12","2,256.86","2,350.51","2,400.33","2,428.88","2,486.14","2,533.87","2,591.31","2,618.52","2,663.29","2,722.17","2,810.55","2,878.89","2,935.80","2,823.10","2,857.26","2,916.37","2,991.65","3,078.24","3,191.88","3,299.53","3,357.09","3,576.16","3,691.38","3,777.26","4,210.79","4,461.75","4,672.02","4,698.61","4,694.34","4,750.52","5,028.02","5,231.81","5,457.42","5,396.25"
GRC,"24,122.07","23,461.20","23,060.42","22,664.79","23,000.28","23,465.67","23,516.28","22,902.19","23,811.38","24,612.18","24,459.57","24,845.60","24,790.82","24,245.18","24,591.16","24,997.68","25,586.03","26,630.30","27,502.10","28,203.11","29,233.04","30,270.99","31,307.61","33,038.20","34,632.31","34,746.10","36,593.67","37,684.80","37,473.77","35,752.97","33,699.99","30,268.44","28,218.53","27,651.44","28,040.21","28,101.52","28,156.57","28,558.30","29,076.49","29,662.12","27,251.38"
GRD,"6,064.16","6,040.48","6,118.28","6,129.81","6,214.02","6,488.53","6,949.96","7,638.34","7,965.18","8,366.35","8,775.84","8,888.36","8,752.70","8,487.76","8,547.08","8,652.81","8,968.20","9,356.80","10,414.91","11,097.83","11,613.44","11,333.72","11,678.76","12,738.89","12,614.84","14,246.63","13,641.27","14,442.88","14,541.85","13,537.82","13,412.81","13,444.64","13,207.00","13,427.54","14,317.05","15,142.07","15,614.30","16,217.50","16,783.53","17,001.81","14,627.59"
GTM,"6,633.57","6,510.73","6,124.41","5,820.94","5,704.47","5,528.37","5,395.60","5,449.61","5,521.95","5,599.79","5,635.16","5,669.90","5,793.10","5,851.36","5,917.08","6,037.25","6,067.45","6,176.42","6,317.87","6,405.66","6,417.28","6,420.20","6,537.06","6,551.64","6,589.86","6,636.73","6,849.29","7,102.80","7,202.03","7,090.68","7,133.10","7,291.40","7,362.26","7,460.00","7,631.35","7,782.90","7,832.26","7,908.46","8,000.25","8,142.59","7,860.82"
GIN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,592.09","1,546.64","1,506.53","1,493.47","1,475.09","1,480.46","1,497.30","1,536.60","1,562.32","1,594.78","1,607.56","1,638.41","1,694.38","1,685.94","1,693.19","1,708.12","1,710.99","1,777.41","1,802.99","1,728.59","1,754.67","1,805.77","1,864.19","1,889.04","1,910.49","1,934.95","2,092.17","2,252.16","2,333.04","2,404.62","2,468.55"
GNB,"1,761.09","1,716.28","1,751.58","1,657.23","1,712.42","1,749.31","1,696.20","1,756.93","1,756.28","1,771.89","1,816.27","1,905.68","1,921.06","1,921.31","1,934.72","1,968.51","1,998.05","2,072.29","1,572.84","1,798.36","1,779.82","1,825.88","1,852.98","1,809.00","1,791.72","1,868.84","1,877.82","1,884.61","1,927.04","1,930.28","2,023.14","2,139.64","2,057.72","2,078.98","2,053.85","2,132.91","2,197.75","2,253.42","2,278.96","2,330.24","2,225.36"
GUY,"6,566.41","6,590.00","6,008.30","5,333.23","5,473.24","5,527.36","5,557.53","5,601.22","5,313.76","5,113.64","5,001.05","5,317.18","5,728.09","6,182.38","6,678.92","6,977.93","7,502.11","7,922.67","7,755.73","7,954.90","7,826.72","7,991.12","8,083.58","8,037.04","8,167.05","8,004.84","8,398.21","8,963.70","9,116.44","9,381.35","9,765.39","10,255.49","10,743.81","11,092.42","11,235.19","11,268.17","11,601.86","11,964.64","12,426.25","13,052.24","18,658.88"
HTI,"3,868.59","3,840.03","3,666.83","3,548.06","3,492.28","3,456.37","3,404.35","3,329.48","3,308.80","3,206.07","3,127.66","3,109.48","2,981.13","2,777.18","2,402.95","2,591.04","2,649.53","2,672.59","2,682.81","2,707.70","2,684.55","2,630.51","2,610.75","2,654.21","2,578.89","2,629.11","2,632.18","2,734.74","2,758.58","2,887.39","2,735.28","2,860.21","2,833.78","2,879.14","2,935.22","2,941.82","2,952.62","2,980.96","2,992.31","2,905.44","2,763.72"
HND,"4,081.36","4,054.96","3,878.32","3,726.91","3,771.92","3,811.70","3,727.42","3,837.10","3,897.04","3,951.04","3,843.39","3,856.85","3,960.30","4,090.25","3,924.51","3,970.11","3,996.13","4,077.08","4,077.55","3,935.73","4,108.77","4,109.78","4,154.93","4,235.63","4,390.48","4,546.26","4,733.55","4,914.32","5,011.63","4,787.87","4,866.98","4,956.41","5,065.46","5,113.46","5,177.42","5,283.41","5,394.33","5,557.93","5,663.90","5,713.68","5,165.84"
HKG,"16,829.21","17,950.57","18,187.83","18,957.39","20,542.94","20,428.40","22,430.48","25,291.53","27,084.68","27,435.81","28,360.47","29,651.27","31,113.18","32,434.39","33,710.41","33,681.17","34,288.10","35,759.67","33,315.06","33,871.31","36,065.46","36,166.42","36,790.21","37,699.39","40,777.29","43,533.17","46,145.89","48,887.69","49,745.16","48,296.51","51,157.78","53,187.94","53,628.38","54,985.74","56,177.47","57,071.93","57,777.33","59,676.48","60,774.21","59,740.42","56,420.76"
HUN,"16,156.83","16,626.18","17,115.73","17,277.05","17,788.43","17,813.12","18,153.24","18,979.69","19,049.04","19,267.92","18,677.30","16,458.84","15,953.75","15,875.02","16,366.60","16,804.12","16,844.04","17,407.20","18,123.03","18,728.78","19,627.02","20,470.70","21,493.96","22,444.67","23,585.29","24,632.42","25,678.76","25,769.07","26,096.23","24,381.88","24,697.34","25,246.35","25,033.16","25,558.15","26,725.30","27,805.17","28,475.32","29,801.55","31,476.66","32,934.56","31,309.80"
ISL,"30,139.32","31,098.78","31,378.16","30,265.82","31,135.00","31,867.51","33,642.44","36,225.28","35,695.11","35,168.28","35,317.94","34,952.29","33,270.99","33,366.39","34,221.22","34,015.54","35,439.01","37,218.28","39,590.80","40,686.54","42,203.99","43,229.84","42,984.17","43,616.61","46,680.08","49,031.61","51,031.37","53,946.27","53,777.17","49,048.04","47,919.36","48,677.90","49,022.77","50,891.12","51,143.68","52,856.27","55,608.74","56,944.80","57,901.09","57,967.73","53,051.87"
IND,"1,210.46","1,253.68","1,267.40","1,328.59","1,348.04","1,387.17","1,421.51","1,445.95","1,551.49","1,609.43","1,663.60","1,647.23","1,703.08","1,749.17","1,829.74","1,930.93","2,037.72","2,080.98","2,169.40","2,310.89","2,360.63","2,434.89","2,487.65","2,641.28","2,802.95","3,015.19","3,243.99","3,508.59","3,592.10","3,842.12","4,179.50","4,399.89","4,583.17","4,818.51","5,116.61","5,464.39","5,851.43","6,183.00","6,518.97","6,708.12","6,124.61"
IDN,"2,852.22","3,009.62","3,017.58","3,083.16","3,252.40","3,313.92","3,483.29","3,640.26","3,818.83","4,085.01","4,366.44","4,678.69","4,902.57","5,206.26","5,507.48","5,862.97","6,249.16","6,468.16","5,554.94","5,534.96","5,744.18","5,869.76","6,047.62","6,247.62","6,469.67","6,741.81","7,012.67","7,352.77","7,788.87","8,040.42","8,432.94","8,792.32","9,192.04","9,570.56","9,916.34","10,260.61","10,655.77","11,073.52","11,522.78","11,976.32","11,585.57"
IRN,"11,328.64","9,969.65","10,850.83","11,881.54","10,304.87","9,712.74","8,503.04","8,545.28","7,548.30","7,750.35","8,931.80","9,656.48","9,717.46","9,697.16","9,414.67","9,373.41","9,812.10","9,595.97","9,616.60","9,486.04","9,969.00","9,882.84","10,731.98","11,545.33","11,868.46","12,062.60","12,466.99","13,319.36","13,186.48","13,150.05","13,732.19","13,909.38","12,723.50","12,549.60","12,871.66","12,540.88","14,046.99","14,402.19","13,380.30","12,336.35","12,392.51"
IRQ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"5,155.32","7,695.85","7,623.70","7,856.39","7,816.33","8,261.36","8,332.89","8,637.55","9,056.08","10,059.04","10,554.47","10,151.67","10,346.33","11,603.67","10,916.39","10,722.58","10,917.05","9,482.15"
IRL,"20,615.78","20,873.47","20,962.62","20,667.18","21,178.35","21,523.70","21,611.28","22,360.84","23,134.29","24,580.69","26,503.94","26,786.96","27,520.99","28,003.42","29,556.31","32,253.16","34,944.90","38,297.07","41,237.52","44,856.06","48,077.25","49,985.05","51,997.48","53,053.62","55,357.69","57,151.30","58,335.04","59,710.97","56,112.49","52,932.08","53,459.78","53,537.83","53,241.77","53,747.81","57,885.75","71,817.66","72,360.19","78,299.41","84,250.30","88,086.78","89,476.95"
ISR,"19,574.24","20,352.97","20,278.88","20,370.60","20,555.53","21,095.60","21,510.26","22,750.46","23,175.08","23,106.03","23,887.88","23,532.08","24,343.88","24,611.33","25,674.69","27,406.00","28,090.24","28,474.89","28,952.60","29,252.79","31,002.21","30,306.37","29,657.91","29,456.11","30,327.20","31,000.81","32,207.59","33,560.76","34,021.67","33,535.22","34,754.55","35,718.05","35,956.69","36,813.52","37,536.02","37,626.10","38,303.64","38,918.09","39,503.50","40,090.13","38,436.15"
ITA,"29,816.93","29,934.74","29,957.60","30,213.87","31,122.98","31,925.64","32,785.28","33,792.79","35,145.06","36,262.60","36,952.04","37,450.91","37,702.47","37,355.86","38,116.52","39,137.73","39,633.68","40,336.24","41,046.34","41,710.17","43,278.76","44,094.50","44,176.85","44,082.43","44,380.40","44,404.51","45,004.49","45,499.15","44,684.19","42,029.15","42,564.48","42,690.62","41,269.31","40,280.44","40,098.06","40,401.53","41,011.84","41,748.26","42,214.90","42,423.51","38,733.80"
JAM,"7,957.10","8,162.55","8,273.22","8,447.72","8,508.78","8,306.22","8,808.47","9,418.20","8,989.17","9,393.30","9,680.90","9,697.70","9,892.88","10,028.46","10,127.30","10,288.97","10,217.03","9,952.43","9,736.23","9,737.76","9,723.52","9,762.13","9,771.62","10,093.55","10,190.51","10,244.89","10,504.48","10,618.46","10,494.35","10,100.81","9,920.97","10,035.02","9,958.60","9,968.47","10,017.36","10,090.25","10,233.18","10,286.74","10,455.17","10,544.60","9,455.81"
JPN,"22,330.96","23,102.06","23,700.45","24,366.79","25,298.50","26,457.11","27,192.00","28,341.81","30,137.03","31,477.76","32,908.17","33,898.24","34,065.15","33,779.34","33,980.73","34,785.81","35,797.50","36,062.77","35,509.48","35,324.26","36,230.93","36,284.71","36,223.56","36,712.20","37,485.39","38,156.34","38,681.72","39,252.31","38,791.51","36,623.68","38,111.41","38,049.96","38,657.44","39,500.44","39,683.85","40,348.25","40,657.98","41,408.95","41,722.89","41,936.73","40,048.32"
JOR,"9,578.84","10,657.52","10,784.38","10,373.41","10,508.02","9,970.11","10,112.56","10,001.34","9,818.09","8,338.96","8,035.75","7,808.63","8,366.89","8,173.68","8,182.83","8,372.71","8,172.02","8,316.96","8,422.20","8,509.96","8,719.69","8,983.53","9,441.46","9,612.37","10,132.20","10,641.67","11,156.68","11,545.17","11,782.47","11,773.38","11,440.01","11,144.06","10,818.34","10,545.37","10,412.35","10,264.49","10,140.90","10,089.53","10,075.43","10,103.11","9,769.03"
KAZ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,888.58","9,973.62","9,325.97","8,629.08","8,781.57","9,102.79","9,068.91","9,347.33","10,288.22","11,688.53","12,820.46","13,933.66","15,146.08","16,457.49","18,008.30","19,391.14","19,516.06","19,481.00","20,601.53","21,816.32","22,544.01","23,547.55","24,177.57","24,115.70","24,043.12","24,699.30","25,378.90","26,184.87","25,181.50"
KEN,"3,245.58","3,257.11","3,301.71","3,239.31","3,182.04","3,205.39","3,322.58","3,392.60","3,477.52","3,516.97","3,562.47","3,498.85","3,357.52","3,256.91","3,245.09","3,291.31","3,323.56","3,250.70","3,251.32","3,218.63","3,142.21","3,180.97","3,114.06","3,115.73","3,170.96","3,261.37","3,362.76","3,492.48","3,405.21","3,424.51","3,625.69","3,759.62","3,843.61","3,971.26","4,085.32","4,229.17","4,376.72","4,475.92","4,646.15","4,782.32","4,669.07"
KIR,"2,336.10","2,296.13","2,215.33","2,206.66","2,215.41","2,053.78","2,022.92","1,981.67","2,109.90","1,994.29","1,919.43","1,894.88","1,892.58","1,885.43","1,891.43","1,863.19","1,852.93","1,857.73","1,951.78","1,885.13","1,963.98","1,901.26","1,940.98","1,944.26","1,878.13","1,935.62","1,893.43","1,890.78","1,811.77","1,787.39","1,733.13","1,737.53","1,795.41","1,846.40","1,809.31","1,971.22","2,045.14","2,036.11","2,085.10","2,130.72","2,085.25"
KOR,"5,486.84","5,793.32","6,180.13","6,904.25","7,539.15","8,050.48","8,873.67","9,904.67","10,983.94","11,645.07","12,669.89","13,897.22","14,606.08","15,452.84","16,716.07","18,139.80","19,385.58","20,389.68","19,204.67","21,255.23","22,988.11","23,919.36","25,618.67","26,288.35","27,545.27","28,671.23","30,022.48","31,603.57","32,309.52","32,398.46","34,431.14","35,426.69","36,087.61","37,060.59","38,007.94","38,870.12","39,857.09","41,001.06","41,993.05","42,764.60","42,297.76"
UVK,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,441.35","7,153.93","6,959.68","7,232.51","7,010.82","7,190.36","7,331.23","7,826.38","8,077.72","8,235.11","8,375.21","8,717.05","8,786.38","9,063.68","9,254.22","9,815.24","10,145.77","10,486.49","10,921.17","11,414.92","10,687.28"
KWT,"60,816.82","47,174.51","40,837.54","41,089.03","42,323.07","38,137.49","39,103.84","40,062.13","34,234.24","41,047.16","29,854.45","27,583.19","48,294.03","62,614.82","55,002.15","52,211.35","49,256.43","47,769.16","48,162.79","47,632.78","50,717.34","48,800.66","47,969.92","53,483.78","54,787.54","55,518.59","56,097.43","55,669.59","56,350.62","51,715.58","49,120.21","52,171.30","54,029.00","53,454.22","51,760.82","50,278.94","50,004.85","46,479.26","45,188.90","44,150.68","39,459.55"
KGZ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,975.38","3,400.76","2,715.22","2,556.69","2,695.56","2,921.49","2,938.76","2,999.13","3,117.91","3,252.26","3,221.52","3,416.94","3,613.77","3,563.33","3,636.32","3,903.05","4,165.31","4,238.22","4,163.70","4,363.93","4,301.76","4,677.59","4,770.26","4,855.55","4,961.37","5,094.37","5,172.43","5,291.87","4,773.83"
LAO,"1,527.30","1,728.37","1,769.11","1,776.41","1,840.82","1,954.87","1,993.10","1,919.33","1,826.56","1,951.32","2,006.00","2,026.34","2,106.52","2,168.38","2,283.48","2,383.98","2,489.46","2,603.90","2,665.56","2,724.87","2,851.91","2,940.57","3,092.95","3,234.95","3,415.04","3,595.23","3,853.88","4,087.34","4,332.96","4,575.25","4,862.59","5,169.54","5,489.18","5,842.03","6,193.50","6,543.80","6,896.29","7,255.17","7,592.99","7,833.41","7,688.63"
LVA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"9,959.35","8,850.54","9,187.14","9,451.78","9,816.53","10,794.23","11,593.05","12,017.76","12,792.89","13,765.51","14,946.44","16,359.10","17,928.15","20,087.40","22,715.77","25,208.87","24,559.45","21,339.45","20,806.27","22,642.30","23,948.90","24,756.26","25,301.55","26,519.03","27,384.62","28,547.99","29,938.45","30,774.61","29,868.51"
LBN,"18,445.88","18,508.87","11,646.48","14,204.58","20,398.33","25,221.86","23,435.04","27,282.86","19,464.65","11,079.15","9,330.08","12,370.45","12,277.53","12,448.96","12,827.28","13,176.11","13,395.79","14,568.10","14,992.46","14,657.24","14,452.09","14,458.04","14,266.13","13,827.02","14,275.26","14,263.72","14,299.10","15,605.56","17,030.15","18,584.38","19,499.17","18,727.01","18,039.03","17,537.62","16,970.44","16,299.21","16,100.92","15,987.65","15,588.15","14,551.59","10,962.09"
LSO,"1,195.43","1,200.50","1,235.39","1,240.20","1,318.08","1,330.37","1,350.73","1,317.88","1,382.38","1,417.78","1,450.70","1,498.97","1,531.73","1,553.03","1,589.21","1,554.52","1,644.20","1,700.15","1,722.69","1,748.75","1,833.09","1,891.69","1,920.03","1,996.66","2,042.96","2,104.92","2,196.22","2,290.41","2,360.60","2,353.26","2,456.69","2,563.71","2,677.56","2,706.73","2,744.20","2,814.53","2,848.36","2,752.74","2,706.54","2,717.07","2,576.25"
LBR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,730.26","1,714.62","1,748.66","1,220.72","1,245.15","1,283.79","1,345.38","1,462.28","1,487.99","1,504.24","1,544.44","1,613.49","1,702.74","1,807.91","1,777.16","1,734.28","1,663.78","1,662.31","1,640.79","1,559.60","1,475.93"
LBY,"99,828.95","76,308.61","73,977.31","67,649.30","59,460.03","60,153.44","51,328.41","41,985.89","40,035.28","41,051.61","45,193.13","51,069.37","48,570.23","45,717.38","45,699.95","39,191.74","39,475.60","38,597.97","37,761.56","37,339.96","38,041.94","36,802.53","35,903.53","39,977.91","41,079.35","45,297.92","47,394.62","49,621.03","39,938.13","38,224.64","38,909.42","13,231.46","28,028.24","17,755.00","8,351.11","7,191.72","6,594.48","10,708.89","12,498.71","14,007.05","5,586.42"
LTU,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"10,652.60","11,296.31","12,325.46","13,343.53","13,285.16","13,873.40","14,900.90","16,035.04","17,873.97","19,263.33","21,093.65","23,021.99","25,884.83","26,836.20","23,109.13","23,988.61","26,018.36","27,383.20","28,643.77","29,913.02","30,807.02","31,987.07","33,826.61","35,495.29","37,133.51","36,802.64"
