country_iso3,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,"18,295.43","16,941.52","16,135.87","16,504.37","16,552.43","15,143.02","16,019.23","16,239.41","15,729.40","14,448.22","13,961.36","15,221.16","16,562.77","17,340.00","18,118.16","17,387.03","18,130.83","19,376.36","19,898.28","19,016.97","18,669.29","17,667.36","15,591.77","16,829.23","18,158.06","19,577.84","20,947.87","22,610.96","23,297.92","21,706.68","23,521.27","24,647.63","24,118.87","24,424.14","23,550.10","23,933.89","23,189.53","23,597.12","22,759.40","22,063.90","19,670.57"
ARM,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,869.12","2,524.43","2,725.45","3,008.39","3,213.80","3,354.41","3,599.15","3,737.29","3,968.86","4,373.03","5,037.01","5,763.71","6,388.34","7,338.39","8,334.60","9,512.25","10,207.27","8,792.45","8,996.94","9,414.58","10,079.40","10,388.32","10,744.19","11,074.41","11,087.77","11,974.03","12,644.05","13,601.65","12,570.87"
ABW,n/a,n/a,n/a,n/a,n/a,n/a,"25,189.61","29,571.56","34,887.99","38,327.58","38,327.58","39,863.37","40,773.92","40,974.63","42,101.80","41,962.60","40,843.26","42,048.19","41,793.71","41,794.80","44,506.17","42,601.83","41,102.57","41,440.53","43,773.25","43,174.77","42,851.50","43,398.42","43,134.25","37,986.67","36,626.13","37,564.67","36,420.71","37,292.45","37,126.98","36,486.35","36,288.17","36,893.48","37,165.12","37,150.92","27,575.07"
AUS,"26,452.68","27,109.57","26,683.51","26,223.37","27,542.77","28,637.74","28,905.79","29,846.84","30,570.99","31,513.15","31,552.57","30,860.71","31,329.90","32,254.30","33,505.01","34,025.77","35,034.68","36,278.77","37,590.04","38,822.10","39,532.63","40,052.24","41,243.13","41,915.74","43,167.38","43,892.25","44,389.34","45,497.43","45,712.69","45,739.97","46,171.74","46,748.72","47,664.11","47,908.13","48,428.30","48,841.21","49,340.40","49,748.18","50,353.96","50,573.63","48,989.64"
AUT,"31,351.34","31,257.22","31,813.60","32,802.37","32,907.66","33,623.19","34,374.22","34,905.29","35,195.95","36,477.37","37,811.12","38,777.15","39,142.25","38,931.14","39,634.01","40,591.21","41,508.62","42,329.64","43,797.56","45,267.01","46,682.69","47,093.64","47,635.49","47,870.01","48,871.10","49,628.58","51,077.82","52,807.70","53,409.28","51,275.73","52,095.40","53,442.50","53,564.92","53,256.78","53,190.42","53,197.15","53,570.83","54,390.55","55,354.63","56,303.44","52,343.46"
AZE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"6,014.74","4,608.01","3,647.88","3,153.36","3,198.56","3,449.86","3,621.40","3,995.18","4,202.02","4,429.60","4,802.08","5,242.49","5,672.81","7,174.54","9,528.12","11,798.40","12,878.90","13,860.63","14,403.00","13,999.84","14,116.13","14,747.14","14,966.79","14,941.15","14,315.38","14,184.79","14,269.47","14,464.20","13,679.50"
BHS,"33,979.27","32,377.16","33,631.15","35,116.32","35,173.98","36,142.64","36,453.83","37,172.44","37,234.98","37,449.39","37,216.18","35,063.80","33,145.78","32,679.30","33,131.96","33,881.55","34,715.14","35,825.74","36,902.18","38,903.23","39,877.10","40,319.27","40,813.33","39,733.13","39,538.06","40,340.28","40,853.84","40,950.31","39,532.60","37,451.15","37,607.49","37,420.10","38,149.10","36,717.05","36,694.38","36,372.77","36,490.50","37,211.84","37,914.46","37,952.38","31,422.26"
BHR,"44,999.95","44,474.09","45,665.91","47,248.85","47,622.14","45,608.11","44,267.01","42,219.68","43,179.68","42,099.80","43,198.22","42,418.50","44,699.05","46,848.98","47,097.89","46,756.83","47,021.61","46,873.72","47,868.80","49,408.69","51,500.17","50,888.65","48,948.39","48,357.61","48,013.99","47,510.52","46,811.96","46,847.33","46,748.23","45,010.86","44,826.72","47,228.90","48,424.65","49,246.00","48,989.61","48,164.15","48,006.93","47,486.02","48,239.43","49,840.30","46,226.93"
BGD,"1,358.24","1,396.83","1,404.43","1,431.47","1,452.91","1,468.33","1,487.13","1,490.99","1,487.49","1,512.77","1,544.41","1,572.34","1,611.44","1,645.06","1,682.90","1,725.94","1,774.26","1,829.33","1,882.10","1,944.39","2,013.57","2,071.46","2,132.64","2,217.11","2,314.84","2,424.46","2,555.89","2,689.31","2,805.31","2,921.60","3,063.12","3,224.92","3,387.44","3,550.66","3,731.97","3,943.01","4,181.10","4,450.31","4,756.74","5,113.78","5,030.92"
BRB,"13,206.74","12,910.46","12,241.03","12,269.52","12,677.60","12,780.44","13,389.76","13,691.23","14,120.22","14,576.06","14,045.46","13,451.14","12,640.45","12,697.74","12,906.27","13,120.48","13,590.46","14,181.18","14,656.44","14,651.06","15,251.02","14,843.88","14,917.61","15,197.84","15,364.63","15,920.32","16,759.77","17,059.90","17,106.50","16,171.09","15,739.03","15,575.63","15,451.41","15,183.51","15,117.44","15,441.95","15,782.48","15,817.71","15,685.70","15,630.64","12,847.05"
BLR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,980.75","8,868.63","7,999.97","7,375.37","6,520.10","5,826.44","6,008.82","6,728.35","7,331.22","7,596.74","8,057.66","8,465.72","8,944.30","9,640.58","10,818.21","11,921.31","13,204.75","14,421.56","15,959.19","16,033.04","17,309.91","18,262.20","18,591.03","18,771.77","19,080.23","18,324.38","17,827.79","18,267.24","18,866.27","19,173.50","19,136.25"
BEL,"29,535.24","29,428.08","29,629.56","29,711.62","30,459.86","30,948.23","31,508.59","32,216.25","33,700.43","34,687.28","35,703.02","36,214.80","36,640.64","36,121.25","37,167.59","37,941.47","38,395.51","39,745.55","40,437.59","41,782.14","43,227.87","43,599.69","44,144.69","44,404.27","45,810.48","46,652.45","47,544.57","48,952.15","48,791.60","47,422.23","48,389.94","48,490.87","48,517.37","48,468.52","49,044.86","49,794.68","50,096.31","50,719.83","51,426.78","52,063.49","48,435.76"
BLZ,"2,984.51","2,984.94","2,709.08","2,795.17","3,029.17","2,905.34","3,029.22","3,600.79","3,913.82","4,403.80","4,760.08","5,169.09","5,648.12","5,826.89","5,647.04","5,542.08","5,481.61","5,478.88","5,479.49","5,848.13","6,383.67","6,584.43","6,724.33","7,167.69","7,320.64","7,272.67","7,428.68","7,273.35","7,330.33","7,066.80","7,200.12","7,125.26","7,110.99","7,019.08","7,115.71","7,115.99","6,931.33","6,872.66","6,891.11","6,835.33","5,731.23"
